date_value,country_code,confirmed,deaths,stringency_actual,stringency,stringency_legacy,stringency_legacy_disp
2020-01-01,ROU,na,na,0,0,0,0
2020-01-01,QAT,na,na,0,0,0,0
2020-01-01,PSE,na,na,0,0,0,0
2020-01-01,PRY,na,na,0,0,0,0
2020-01-01,PRT,na,na,0,0,0,0
2020-01-01,PRI,na,na,0,0,0,0
2020-01-01,POL,na,na,0,0,0,0
2020-01-01,PNG,na,na,0,0,0,0
2020-01-01,PHL,na,na,0,0,0,0
2020-01-01,PER,na,na,0,0,0,0
2020-01-01,PAN,na,na,0,0,0,0
2020-01-01,PAK,na,na,0,0,0,0
2020-01-01,OMN,na,na,0,0,0,0
2020-01-01,NZL,na,na,0,0,0,0
2020-01-01,NPL,na,na,0,0,0,0
2020-01-01,NOR,na,na,0,0,0,0
2020-01-01,NLD,na,na,0,0,0,0
2020-01-01,NIC,na,na,0,0,0,0
2020-01-01,NGA,na,na,0,0,0,0
2020-01-01,NER,na,na,0,0,0,0
2020-01-01,NAM,na,na,0,0,0,0
2020-01-01,MYS,na,na,0,0,0,0
2020-01-01,MWI,na,na,0,0,0,0
2020-01-01,MUS,na,na,0,0,0,0
2020-01-01,MRT,na,na,0,0,0,0
2020-01-01,MOZ,na,na,0,0,0,0
2020-01-01,MNG,na,na,0,0,0,0
2020-01-01,MMR,na,na,0,0,0,0
2020-01-01,MLT,na,na,0,0,0,0
2020-01-01,MLI,na,na,0,0,0,0
2020-01-01,MEX,na,na,0,0,0,0
2020-01-01,MDG,na,na,0,0,0,0
2020-01-01,MDA,na,na,0,0,0,0
2020-01-01,MCO,na,na,0,0,0,0
2020-01-01,MAR,na,na,0,0,0,0
2020-01-01,MAC,na,na,11.11,11.11,14.29,14.29
2020-01-01,LVA,na,na,0,0,0,0
2020-01-01,LUX,na,na,0,0,0,0
2020-01-01,LTU,na,na,0,0,0,0
2020-01-01,LSO,na,na,0,0,0,0
2020-01-01,LKA,na,na,0,0,0,0
2020-01-01,LIE,na,na,0,0,0,0
2020-01-01,LBY,na,na,0,0,0,0
2020-01-01,LBR,na,na,0,0,0,0
2020-01-01,LBN,na,na,0,0,0,0
2020-01-01,LAO,na,na,0,0,0,0
2020-01-01,RKS,na,na,0,0,0,0
2020-01-01,TWN,na,na,2.78,2.78,3.57,3.57
2020-01-01,ZWE,na,na,0,0,0,0
2020-01-01,ZMB,na,na,0,0,0,0
2020-01-01,ZAF,na,na,0,0,0,0
2020-01-01,YEM,na,na,0,0,0,0
2020-01-01,VUT,na,na,0,0,0,0
2020-01-01,VNM,na,na,0,0,0,0
2020-01-01,VIR,na,na,0,0,0,0
2020-01-01,VEN,na,na,0,0,0,0
2020-01-01,UZB,na,na,0,0,0,0
2020-01-01,USA,na,na,0,0,0,0
2020-01-01,URY,na,na,0,0,0,0
2020-01-01,UKR,na,na,0,0,0,0
2020-01-01,UGA,na,na,0,0,0,0
2020-01-01,TZA,na,na,0,0,0,0
2020-01-01,TUR,na,na,0,0,0,0
2020-01-01,TUN,na,na,0,0,0,0
2020-01-01,TTO,na,na,0,0,0,0
2020-01-01,TON,na,na,0,0,0,0
2020-01-01,TLS,na,na,0,0,0,0
2020-01-01,TKM,na,na,0,0,0,0
2020-01-01,TJK,na,na,0,0,0,0
2020-01-01,THA,na,na,0,0,0,0
2020-01-01,TGO,na,na,0,0,0,0
2020-01-01,TCD,na,na,0,0,0,0
2020-01-01,SYR,na,na,0,0,0,0
2020-01-01,SYC,na,na,0,0,0,0
2020-01-01,SWZ,na,na,0,0,0,0
2020-01-01,SWE,na,na,0,0,0,0
2020-01-01,SVN,na,na,0,0,0,0
2020-01-01,SVK,na,na,0,0,0,0
2020-01-01,SUR,na,na,0,0,0,0
2020-01-01,SSD,na,na,0,0,0,0
2020-01-01,SRB,na,na,0,0,0,0
2020-01-01,SOM,na,na,0,0,0,0
2020-01-01,SMR,na,na,0,0,0,0
2020-01-01,SLV,na,na,0,0,0,0
2020-01-01,SLE,na,na,0,0,0,0
2020-01-01,SLB,na,na,0,0,0,0
2020-01-01,SGP,na,na,5.56,5.56,8.57,8.57
2020-01-01,SEN,na,na,0,0,0,0
2020-01-01,SDN,na,na,0,0,0,0
2020-01-01,SAU,na,na,0,0,0,0
2020-01-01,RWA,na,na,0,0,0,0
2020-01-01,RUS,na,na,0,0,0,0
2020-01-01,DMA,na,na,0,0,0,0
2020-01-01,DJI,na,na,0,0,0,0
2020-01-01,DEU,na,na,0,0,0,0
2020-01-01,CZE,na,na,0,0,0,0
2020-01-01,CYP,na,na,0,0,0,0
2020-01-01,CUB,na,na,0,0,0,0
2020-01-01,CRI,na,na,0,0,0,0
2020-01-01,CPV,na,na,0,0,0,0
2020-01-01,COL,na,na,0,0,0,0
2020-01-01,COG,na,na,0,0,0,0
2020-01-01,COD,na,na,0,0,0,0
2020-01-01,CMR,na,na,0,0,0,0
2020-01-01,CIV,na,na,0,0,0,0
2020-01-01,CHN,na,na,0,0,0,0
2020-01-01,CHL,na,na,0,0,0,0
2020-01-01,CHE,na,na,0,0,0,0
2020-01-01,CAN,na,na,0,0,0,0
2020-01-01,CAF,na,na,0,0,0,0
2020-01-01,BWA,na,na,5.56,5.56,9.52,9.52
2020-01-01,BTN,na,na,0,0,0,0
2020-01-01,BRN,na,na,0,0,0,0
2020-01-01,BRB,na,na,0,0,0,0
2020-01-01,BRA,na,na,0,0,0,0
2020-01-01,BOL,na,na,0,0,0,0
2020-01-01,BMU,na,na,0,0,0,0
2020-01-01,BLZ,na,na,0,0,0,0
2020-01-01,BLR,na,na,0,0,0,0
2020-01-01,BIH,na,na,0,0,0,0
2020-01-01,BHS,na,na,0,0,0,0
2020-01-01,BHR,na,na,0,0,0,0
2020-01-01,BGR,na,na,0,0,0,0
2020-01-01,BGD,na,na,0,0,0,0
2020-01-01,BFA,na,na,0,0,0,0
2020-01-01,BEN,na,na,0,0,0,0
2020-01-01,BEL,na,na,0,0,0,0
2020-01-01,BDI,na,na,0,0,0,0
2020-01-01,AZE,na,na,0,0,0,0
2020-01-01,AUT,na,na,0,0,0,0
2020-01-01,AUS,na,na,0,0,0,0
2020-01-01,ARG,na,na,0,0,0,0
2020-01-01,ARE,na,na,0,0,0,0
2020-01-01,AND,na,na,0,0,0,0
2020-01-01,ALB,na,na,0,0,0,0
2020-01-01,AGO,na,na,0,0,0,0
2020-01-01,AFG,na,na,0,0,0,0
2020-01-01,ABW,na,na,0,0,0,0
2020-01-01,KWT,na,na,0,0,0,0
2020-01-01,KOR,na,na,0,0,0,0
2020-01-01,KIR,na,na,0,0,0,0
2020-01-01,KHM,na,na,0,0,0,0
2020-01-01,KGZ,na,na,0,0,0,0
2020-01-01,KEN,na,na,0,0,0,0
2020-01-01,KAZ,na,na,0,0,0,0
2020-01-01,JPN,na,na,0,0,0,0
2020-01-01,JOR,na,na,0,0,0,0
2020-01-01,JAM,na,na,0,0,0,0
2020-01-01,ITA,na,na,0,0,0,0
2020-01-01,ISR,na,na,0,0,0,0
2020-01-01,ISL,na,na,0,0,0,0
2020-01-01,IRQ,na,na,0,0,0,0
2020-01-01,IRN,na,na,0,0,0,0
2020-01-01,IRL,na,na,0,0,0,0
2020-01-01,IND,na,na,0,0,0,0
2020-01-01,IDN,na,na,0,0,0,0
2020-01-01,HUN,na,na,0,0,0,0
2020-01-01,HTI,na,na,0,0,0,0
2020-01-01,HRV,na,na,0,0,0,0
2020-01-01,HND,na,na,0,0,0,0
2020-01-01,HKG,na,na,13.89,13.89,17.86,17.86
2020-01-01,DNK,na,na,0,0,0,0
2020-01-01,DOM,na,na,0,0,0,0
2020-01-01,DZA,na,na,0,0,0,0
2020-01-01,ECU,na,na,0,0,0,0
2020-01-01,EGY,na,na,0,0,0,0
2020-01-01,ERI,na,na,0,0,0,0
2020-01-01,ESP,na,na,0,0,0,0
2020-01-01,EST,na,na,0,0,0,0
2020-01-01,ETH,na,na,0,0,0,0
2020-01-01,FIN,na,na,0,0,0,0
2020-01-01,FJI,na,na,0,0,0,0
2020-01-01,FRA,na,na,0,0,0,0
2020-01-01,FRO,na,na,0,0,0,0
2020-01-01,GAB,na,na,0,0,0,0
2020-01-01,GBR,na,na,0,0,0,0
2020-01-01,GEO,na,na,0,0,0,0
2020-01-01,GHA,na,na,0,0,0,0
2020-01-01,GIN,na,na,0,0,0,0
2020-01-01,GMB,na,na,0,0,0,0
2020-01-01,GRC,na,na,0,0,0,0
2020-01-01,GRL,na,na,0,0,0,0
2020-01-01,GTM,na,na,0,0,0,0
2020-01-01,GUM,na,na,0,0,0,0
2020-01-01,GUY,na,na,0,0,0,0
